City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Jacareacanga,BR,2021-12-10 02:38:53,-6.2222,-57.7528,73.47,98,100,0.56
149,Tonekabon,IR,2021-12-10 02:38:53,36.8163,50.8738,60.75,80,5,4.36
150,Kavaratti,IN,2021-12-10 02:38:55,10.5669,72.642,82.6,72,58,10.22
151,Hamilton,US,2021-12-10 02:38:55,39.1834,-84.5333,56.25,60,90,9.22
152,Makokou,GA,2021-12-10 02:38:57,0.5738,12.8642,70.66,87,8,1.39
153,Aguimes,ES,2021-12-10 02:38:57,27.9054,-15.4461,61.43,77,75,23.02
154,Bredasdorp,ZA,2021-12-10 02:38:58,-34.5322,20.0403,65.28,92,99,8.05
155,Ketchikan,US,2021-12-10 02:35:21,55.3422,-131.6461,34.27,93,75,5.75
156,Muros,ES,2021-12-10 02:39:00,42.7762,-9.0603,58.98,96,100,16.53
157,Limon,CR,2021-12-10 02:39:01,10.0,-83.0333,76.95,81,13,3.4
158,Udachnyy,RU,2021-12-10 02:39:01,66.4167,112.4,-11.06,95,97,6.64
159,Ormara,PK,2021-12-10 02:39:02,25.2088,64.6357,70.63,48,1,5.53
160,Ulladulla,AU,2021-12-10 02:39:07,-35.35,150.4667,60.1,95,100,24.36
161,Dryden,CA,2021-12-10 02:35:34,49.7833,-92.7503,21.49,79,1,13.8
162,Hofn,IS,2021-12-10 02:39:12,64.2539,-15.2082,37.63,73,89,19.39
163,Karasburg,NA,2021-12-10 02:39:12,-28.0167,18.75,66.13,26,6,4.09
164,Kangaatsiaq,GL,2021-12-10 02:39:14,68.3065,-53.4641,21.9,89,97,5.64
165,Naze,JP,2021-12-10 02:39:15,28.3667,129.4833,68.92,47,25,3.24
166,Am Timan,TD,2021-12-10 02:39:17,11.0297,20.2827,69.8,25,0,6.6
167,Chalons-En-Champagne,FR,2021-12-10 02:39:19,48.9539,4.3672,39.78,92,100,17.02
168,Birin,NP,2021-12-10 02:39:23,26.8865,88.0718,56.57,63,4,2.26
169,Saskylakh,RU,2021-12-10 02:39:27,71.9167,114.0833,-13.04,98,100,6.15
170,Lac Du Bonnet,CA,2021-12-10 02:39:28,50.2536,-96.0612,17.89,92,23,8.48
171,Hue,VN,2021-12-10 02:39:31,16.4667,107.6,73.51,88,75,3.44
172,Haian,CN,2021-12-10 02:39:31,32.5436,120.45,56.66,52,1,5.82
173,Longyearbyen,SJ,2021-12-10 02:39:32,78.2186,15.6401,24.64,86,90,0.0
174,Aripuana,BR,2021-12-10 02:39:37,-9.1667,-60.6333,73.92,97,100,1.59
175,Gorom-Gorom,BF,2021-12-10 02:39:37,14.4439,-0.2361,68.11,13,94,9.82
176,Esperance,AU,2021-12-10 02:38:10,-33.8667,121.9,91.24,41,91,11.21
177,Atasu,KZ,2021-12-10 02:39:38,48.6814,71.6433,5.7,78,11,7.14
178,Sinfra,CI,2021-12-10 02:39:38,6.6167,-5.9167,72.63,93,42,2.13
179,Khani,GE,2021-12-10 02:39:40,41.9563,42.9566,38.77,87,97,2.66
180,Vanderhoof,CA,2021-12-10 02:39:42,54.0166,-124.0198,26.67,71,86,6.91
181,Ust-Omchug,RU,2021-12-10 02:39:43,61.15,149.6333,-20.52,77,95,2.53
182,Okhotsk,RU,2021-12-10 02:39:44,59.3833,143.3,3.54,82,87,9.17
183,Windhoek,NA,2021-12-10 02:39:45,-22.5594,17.0832,70.11,42,100,2.3
184,Kaeo,NZ,2021-12-10 02:40:46,-35.1,173.7833,73.42,56,41,7.4
185,Bubaque,GW,2021-12-10 02:40:47,11.2833,-15.8333,81.36,66,49,13.18
186,Baghdad,IQ,2021-12-10 02:40:48,33.3406,44.4009,46.31,71,0,4.61
187,Tuatapere,NZ,2021-12-10 02:40:52,-46.1333,167.6833,62.82,56,98,11.21
188,Codrington,AU,2021-12-10 02:40:52,-38.2667,141.9667,61.02,57,89,15.08
189,Chokurdakh,RU,2021-12-10 02:40:57,70.6333,147.9167,-47.79,100,71,3.58
190,Barrow,US,2021-12-10 02:40:53,71.2906,-156.7887,3.22,85,90,11.5
191,Goderich,CA,2021-12-10 02:36:11,43.7501,-81.7165,32.92,80,100,19.57
192,Ovsyanka,RU,2021-12-10 02:40:58,55.9575,92.5519,13.17,88,100,16.55
193,Clyde River,CA,2021-12-10 02:41:01,70.4692,-68.5914,-10.97,77,21,3.44
194,Santiago,CL,2021-12-10 02:41:07,-33.4569,-70.6483,72.86,43,0,9.22
195,Okha,RU,2021-12-10 02:41:08,53.5739,142.9478,26.98,87,100,8.21
196,Abu Kamal,SY,2021-12-10 02:41:08,34.4506,40.9171,50.83,69,0,5.01
197,Hisor,TJ,2021-12-10 02:41:10,38.525,68.5512,33.55,12,0,3.44
198,Kaitangata,NZ,2021-12-10 02:41:12,-46.2817,169.8464,60.93,63,61,8.1
199,Winneba,GH,2021-12-10 02:41:12,5.3511,-0.6231,82.87,85,1,5.77
200,Asfi,MA,2021-12-10 02:41:13,32.2994,-9.2372,55.53,78,0,18.61
201,Muroto,JP,2021-12-10 02:41:14,33.2833,134.15,59.04,55,13,4.45
202,Vila Velha,BR,2021-12-10 02:41:15,-20.3297,-40.2925,69.94,91,40,4.61
203,Kuytun,RU,2021-12-10 02:41:15,54.3419,101.5036,10.0,81,100,8.88
204,Port Moresby,PG,2021-12-10 02:41:16,-9.4431,147.1797,89.02,58,75,9.22
205,Payo,ID,2021-12-10 02:41:17,-3.7508,103.6372,75.38,96,98,3.15
206,Champerico,GT,2021-12-10 02:41:17,14.3,-91.9167,81.03,79,0,7.9
207,Pamekasan,ID,2021-12-10 02:41:22,-7.1568,113.4746,85.68,65,33,3.06
208,Idah,NG,2021-12-10 02:41:23,7.1065,6.7342,72.61,32,4,1.48
209,Fort Nelson,CA,2021-12-10 02:41:23,58.8053,-122.7002,6.39,85,90,2.3
210,Mansa,IN,2021-12-10 02:41:27,29.9833,75.3833,57.51,37,0,3.02
211,San Cristobal,VE,2021-12-10 02:41:29,7.7669,-72.225,71.78,96,100,2.57
212,Wakema,MM,2021-12-10 02:41:31,16.6,95.1833,80.1,65,0,7.81
213,Sorong,ID,2021-12-10 02:37:36,-0.8833,131.25,85.03,69,99,6.13
214,Bendigo,AU,2021-12-10 02:38:25,-36.7667,144.2833,73.85,42,0,1.99
215,Moundou,TD,2021-12-10 02:41:32,8.5667,16.0833,70.65,29,9,3.33
216,Faanui,PF,2021-12-10 02:41:33,-16.4833,-151.75,81.16,70,9,12.26
217,Timmins,CA,2021-12-10 02:39:38,48.4669,-81.3331,10.22,79,90,13.8
218,Olafsvik,IS,2021-12-10 02:41:37,64.8945,-23.7142,36.48,78,100,14.74
219,Angol,CL,2021-12-10 02:41:38,-37.8,-72.7167,66.72,55,0,4.92
220,Hauterive,FR,2021-12-10 02:41:48,46.0901,3.4459,41.09,91,100,12.17
221,Havoysund,NO,2021-12-10 02:41:49,70.9963,24.6622,22.08,66,38,10.69
222,Fare,PF,2021-12-10 02:41:52,-16.7,-151.0167,80.96,71,9,12.28
223,San Carlos,VE,2021-12-10 02:41:53,9.6612,-68.5827,74.3,81,97,4.07
224,Cernavoda,RO,2021-12-10 02:41:55,44.3667,28.0167,52.11,80,23,18.1
225,Karwar,IN,2021-12-10 02:41:57,14.8,74.1333,79.0,72,0,6.89
226,Bengkulu,ID,2021-12-10 02:41:58,-3.8004,102.2655,74.14,93,100,8.77
227,Praia Da Vitoria,PT,2021-12-10 02:42:00,38.7333,-27.0667,62.76,82,75,6.58
228,Alice Springs,AU,2021-12-10 02:38:08,-23.7,133.8833,81.95,20,0,10.36
229,Prince George,CA,2021-12-10 02:37:20,53.9166,-122.753,23.61,86,40,6.91
230,Sinnamary,GF,2021-12-10 02:42:12,5.3833,-52.95,77.86,91,97,7.61
231,Erdenet,MN,2021-12-10 02:43:13,49.0333,104.0833,11.44,85,96,2.68
232,Zhangjiakou,CN,2021-12-10 02:43:13,40.81,114.8794,32.4,44,97,3.58
233,Khatanga,RU,2021-12-10 02:43:14,71.9667,102.5,-17.64,97,99,8.68
234,Souillac,MU,2021-12-10 02:43:15,-20.5167,57.5167,75.36,94,40,5.75
235,Filingue,NE,2021-12-10 02:43:15,14.3521,3.3168,66.9,14,18,10.29
236,Comodoro Rivadavia,AR,2021-12-10 02:41:58,-45.8667,-67.5,57.06,72,0,9.22
237,Tagusao,PH,2021-12-10 02:43:16,9.1924,117.8141,83.57,72,96,7.74
238,Port Lincoln,AU,2021-12-10 02:43:17,-34.7333,135.8667,63.84,53,44,11.54
239,Maniitsoq,GL,2021-12-10 02:43:23,65.4167,-52.9,21.38,70,98,10.71
240,Novomykolayivka,UA,2021-12-10 02:43:24,47.9781,35.9102,43.05,93,100,5.44
241,Aswan,EG,2021-12-10 02:43:25,24.0934,32.907,56.53,64,9,9.8
242,Yzeure,FR,2021-12-10 02:43:27,46.5644,3.355,41.29,96,100,8.01
243,Kruisfontein,ZA,2021-12-10 02:43:28,-34.0033,24.7314,65.88,96,100,2.71
244,Pacific Grove,US,2021-12-10 02:43:30,36.6177,-121.9166,53.28,79,16,1.01
245,Rafai,CF,2021-12-10 02:43:31,4.95,23.9167,65.52,41,88,2.21
246,Adiake,CI,2021-12-10 02:43:33,5.2863,-3.304,80.19,84,20,4.52
247,Sao Filipe,CV,2021-12-10 02:43:37,14.8961,-24.4956,74.16,68,82,11.88
248,Pevek,RU,2021-12-10 02:43:38,69.7008,170.3133,-25.83,98,99,6.89
249,Torbay,CA,2021-12-10 02:42:32,47.6666,-52.7314,29.75,94,90,40.29
250,Alofi,NU,2021-12-10 02:43:47,-19.0595,-169.9187,75.09,94,75,6.91
251,Ban Tak,TH,2021-12-10 02:43:49,17.0432,99.0813,72.34,63,6,2.48
252,Surt,LY,2021-12-10 02:43:50,31.2089,16.5887,59.72,61,1,15.75
253,Asau,RO,2021-12-10 02:43:52,46.4333,26.4,33.76,86,100,3.29
254,Rasuceni,RO,2021-12-10 02:43:52,44.0917,25.6639,39.36,93,100,4.5
255,Ibotirama,BR,2021-12-10 02:43:53,-12.1853,-43.2206,70.34,95,39,1.23
256,Fortuna,US,2021-12-10 02:43:57,40.5982,-124.1573,46.98,71,75,0.0
257,Chowchilla,US,2021-12-10 02:44:01,37.123,-120.2602,52.11,87,90,4.61
258,Jalu,LY,2021-12-10 02:44:02,29.0331,21.5482,53.46,50,3,7.67
259,Korla,CN,2021-12-10 02:39:12,41.7597,86.1469,29.86,33,37,6.87
260,Bilma,NE,2021-12-10 02:44:07,18.6853,12.9164,61.75,15,97,8.14
261,Chuy,UY,2021-12-10 02:44:11,-33.6971,-53.4616,61.14,79,58,7.31
262,Los Alamos,US,2021-12-10 02:44:14,35.8881,-106.307,45.55,47,1,1.01
263,Karratha,AU,2021-12-10 02:44:16,-20.7377,116.8463,101.37,24,12,4.29
264,Kawalu,ID,2021-12-10 02:44:16,-7.3817,108.2082,83.32,72,79,2.28
265,Leh,IN,2021-12-10 02:44:16,34.1667,77.5833,8.58,79,92,4.52
266,Yucaipa,US,2021-12-10 02:44:17,34.0336,-117.0431,49.24,93,90,1.99
267,Chifeng,CN,2021-12-10 02:40:01,42.2683,118.9636,33.94,38,0,5.88
268,Muyezerskiy,RU,2021-12-10 02:44:18,63.9333,31.65,2.93,97,97,4.38
269,Hasaki,JP,2021-12-10 02:44:20,35.7333,140.8333,52.29,66,100,13.96
270,Akyab,MM,2021-12-10 02:44:22,20.15,92.9,78.75,69,0,2.64
271,Abha,SA,2021-12-10 02:40:52,18.2164,42.5053,44.42,26,0,0.0
272,Yar-Sale,RU,2021-12-10 02:44:27,66.8333,70.8333,3.79,91,100,7.78
273,Xiongyue,CN,2021-12-10 02:44:32,40.1774,122.1228,42.57,63,4,12.55
274,Yunyang,CN,2021-12-10 02:45:33,33.4474,112.7142,50.32,54,100,3.49
275,Melfort,CA,2021-12-10 02:42:16,52.8667,-104.6177,12.96,79,19,11.5
276,San Patricio,US,2021-12-10 02:41:48,28.017,-97.5169,75.88,89,18,13.38
277,Ariquemes,BR,2021-12-10 02:45:35,-9.9133,-63.0408,73.78,97,100,1.86
278,Valparaiso,CL,2021-12-10 02:42:36,-33.0393,-71.6273,58.64,82,0,4.61
279,Kempele,FI,2021-12-10 02:45:37,64.9131,25.5034,15.96,88,0,14.97
280,Bridlington,GB,2021-12-10 02:45:38,54.0831,-0.1919,42.98,82,100,22.21
281,Peace River,CA,2021-12-10 02:45:38,56.2501,-117.286,23.31,63,75,11.5
282,Maragogi,BR,2021-12-10 02:45:40,-9.0122,-35.2225,78.89,82,89,10.02
283,Neiafu,TO,2021-12-10 02:45:42,-18.65,-173.9833,83.08,74,75,8.05
284,Northam,GB,2021-12-10 02:45:43,51.0333,-4.2167,46.62,69,71,29.93
285,Yumen,CN,2021-12-10 02:45:45,40.2833,97.2,26.96,55,100,4.09
286,Shenjiamen,CN,2021-12-10 02:45:46,29.9576,122.298,58.23,65,0,8.86
287,Nalut,LY,2021-12-10 02:45:46,30.3333,10.85,43.16,59,0,6.89
288,Genhe,CN,2021-12-10 02:45:47,50.7833,121.5167,15.08,82,70,2.48
289,Rocha,UY,2021-12-10 02:45:26,-34.4833,-54.3333,58.14,91,94,5.41
290,Lebu,CL,2021-12-10 02:45:47,-37.6167,-73.65,56.16,89,0,15.46
291,Mogadishu,SO,2021-12-10 02:45:48,2.0371,45.3438,76.66,74,36,16.55
292,Rio Gallegos,AR,2021-12-10 02:41:33,-51.6226,-69.2181,57.25,51,75,9.22
293,Viedma,AR,2021-12-10 02:45:49,-40.8135,-62.9967,59.13,86,0,9.82
294,Porto Velho,BR,2021-12-10 02:45:16,-8.7619,-63.9039,77.05,94,40,2.3
